"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","United States","20893750000000","18624475000000","61762.8627","338289.8570"
"2","China","14862564000000","11218281029298","10423.3789","1425887.3370"
"3","Japan","5040108000000","4936211827875","40661.8733","123951.6920"
"4","Germany","3843335000000","3477796274497","46099.8229","83369.8430"
"5","United Kingdom","2758870000000","2647898654635","40866.7380","67508.9360"
"6","India","2667686000000","2259642382872","1882.3994","1417173.1730"
"7","France","2621961000000","2465453975282","40570.9083","64626.6280"
"8","Italy","1891057000000","1858913163928","32031.4687","59037.4740"
"9","Canada","1645423000000","1529760492201","42789.0209","38454.3270"
"10","South Korea","1638258000000","1411245589977","31616.9524","51815.8100"
"11","Russia","1483379000000","1246015056927","10250.4667","144713.3140"
"12","Brazil","1448550000000","1795925681016","6727.6321","215313.4980"
"13","Australia","1357317000000","1304463104965","51850.6928","26177.4130"
"14","Spain","1280459000000","1237255019654","26923.7991","47558.6300"
"15","Mexico","1087117000000","1076914464477","8526.1320","127504.1250"
"16","Indonesia","1059903000000","932259177621","3847.1791","275501.3390"
"17","Iran","938052000000","425402616011","10593.4044","88550.5700"
"18","Netherlands","913134000000","777227541581","51988.9132","17564.0140"
"19","Switzerland","751743000000","668851296244","86007.1401","8740.4720"
"20","Turkey","719919000000","863711710542","8435.7691","85341.2410"
"21","Saudi Arabia","703368000000","639617050945","19318.6157","36408.8200"
"22","Taiwan","669250000000","0","28009.8340","23893.3940"
"23","Poland","596633000000","471402266588","14969.2859","39857.1450"
"24","Sweden","541486999999.9999","514475856961","51328.9590","10549.3470"
"25","Belgium","521445000000.0001","467955267357","44736.4560","11655.9300"
"26","Thailand","500293000000","407026319505","6977.8762","71697.0300"
"27","Austria","432912000000","390799991147","48426.2357","8939.6170"
"28","Nigeria","429423000000","404649125399","1964.9520","218541.2120"
"29","Ireland","425549000000","304819019837","84718.2492","5023.1090"
"30","Israel","407101000000","317747579750","45041.7219","9038.3090"
"31","Argentina","389064000000","545866164479","8548.9185","45510.3180"
"32","Egypt","364023000000","270143813412","3279.7789","110990.1030"
"33","Norway","362198000000","371068933176","66650.1175","5434.3190"
"34","Philippines","361489000000","304905638877","3128.1767","115559.0090"
"35","United Arab Emirates","358869000000","348743627620","38011.2379","9441.1290"
"36","Denmark","356085000000","306899653410","60535.3962","5882.2610"
"37","Singapore","345286000000","296946278392","57781.7888","5975.6890"
"38","Hong Kong","344879000000","320912235499","46052.2389","7488.8650"
"39","Vietnam","342941000000","205276171343","3492.7384","98186.8560"
"40","Malaysia","337280000000","296531469473","9938.0577","33938.2210"
"41","South Africa","335344000000","295440009818","5598.9689","59893.8850"
"42","Bangladesh","323057000000","220836732893","1887.1654","171186.3720"
"43","Pakistan","299296000000","282506007859","1269.1452","235824.8620"
"44","Finland","271619000000.0000","238502900312","49022.1080","5540.7450"
"45","Colombia","270415000000.0000","282462551367","5212.9174","51874.0240"
"46","Chile","252501000000","247045730477","12880.2509","19603.7330"
"47","Romania","249512000000","186690976699","12691.8262","19659.2670"
"48","Czech Republic","245339000000","195305084919","23379.0097","10493.9860"
"49","Portugal","228356000000","204836597909","22233.3757","10270.8650"
"50","New Zealand","210698000000","187517098554","40633.8086","5185.2880"
"51","Peru","205233000000","192209529586","6027.4738","34049.5880"
"52","Greece","188684000000","192690813127","18168.9482","10384.9710"
"53","Kazakhstan","171082000000","135005203998","8819.5699","19397.9980"
"54","Iraq","169488000000","160021001474","3809.0510","44496.1220"
"55","Hungary","155808000000","125816640421","15631.9038","9967.3080"
"56","Ukraine","155300000000","93270354852","3911.6674","39701.7390"
"57","Algeria","147600000000","159049145187","3287.0690","44903.2250"
"58","Qatar","144411000000","152451923077","53582.3610","2695.1220"
"59","Morocco","114724000000","103606574896","3062.7393","37457.9710"
"60","Kuwait","105949000000","110346129191","24818.9628","4268.8730"
"61","Slovakia","105088000000","89768598023","18621.2236","5643.4530"
"62","Puerto Rico","103138000000","105034500000","31711.2834","3252.4070"
"63","Kenya","101279000000","70525979046","1874.5828","54027.4870"
"64","Ecuador","99291000000","98010212618","5515.8602","18001"
"65","Ethiopia","96611000000","70314560872","783.0366","123379.9240"
"66","Myanmar","81257000000","65697616068","1499.7793","54179.3060"
"67","Sri Lanka","80677000000","81321970966","3695.3312","21832.1430"
"68","Dominican Republic","78923000000","71583585170","7028.6097","11228.8210"
"69","Guatemala","77603000000","68762920570","4348.9913","17843.9080"
"70","Luxembourg","73294000000","58631324559","113178.0624","647.5990"
"71","Oman","72056000000","63170959402","15745.4781","4576.2980"
"72","Bulgaria","69995000000","53239643485","10320.7734","6781.9530"
"73","Ghana","68498000000.0000","42793869465","2046.1903","33475.8700"
"74","Tanzania","64403000000.0000","0","983.2857","65497.7480"
"75","Costa Rica","62144000000","57435510668","11994.9915","5180.8290"
"76","Ivory Coast","61437000000","36767790205","2181.6697","28160.5420"
"77","Belarus","61312000000","47408111179","6430.2355","9534.9540"
"78","Uzbekistan","59893000000","67778902435","1729.6293","34627.6520"
"79","Angola","58254000000","106917535790","1636.8547","35588.9870"
"80","Croatia","57204000000","51231002611","14193.2801","4030.3580"
"81","Lithuania","56502000000","42773029835","20545.7709","2750.0550"
"82","Panama","53977000000","55187800000","12243.6222","4408.5810"
"83","Uruguay","53561000000","52419718459","15648.3271","3422.7940"
"84","Slovenia","53547000000","44708598649","25259.8776","2119.8440"
"85","Serbia","53335000000","38299871897","7385.7228","7221.3650"
"86","Turkmenistan","53187000000","36179885714","8270.7048","6430.7700"
"87","DR Congo","48707000000","40337492609","491.9392","99010.2120"
"88","Venezuela","47255000000","291376437340","1669.6879","28301.6960"
"89","Jordan","43759000000","38654647887","3877.3266","11285.8690"
"90","Azerbaijan","42693000000","37847204069","4121.7122","10358.0740"
"91","Tunisia","42502000000","41703561397","3439.7538","12356.1170"
"92","Cameroon","40863000000","32217073816","1463.8610","27914.5360"
"93","Uganda","37444000000","25307842467","792.4726","47249.5850"
"94","Bolivia","36897000000","33806395465","3018.3793","12224.1100"
"95","Paraguay","35432000000","27165101909","5225.3853","6780.7440"
"96","Bahrain","34723000000","32179073596","23585.2613","1472.2330"
"97","Nepal","33982000000","20914004957","1112.4285","30547.5800"
"98","Latvia","33619000000","27572698482","18166.0400","1850.6510"
"99","Estonia","30626000000","23337920560","23095.4510","1326.0620"
"100","Lebanon","27320000000","50457653265","4976.5572","5489.7390"
"101","Macau","25586000000","45311080521","36805.4916","695.1680"
"102","Cambodia","25192000000","20016747858","1502.3997","16767.8420"
"103","Cyprus","24672000000","20046234311","19714.1323","1251.4880"
"104","Papua New Guinea","24665000000","19694115731","2431.8177","10142.6190"
"105","El Salvador","24639000000","26797469656","3888.4905","6336.3920"
"106","Senegal","24534000000","14604520531","1416.8032","17316.4490"
"107","Honduras","23828000000","21516915353","2283.9375","10432.8600"
"108","Zimbabwe","23146000000","16123763648","1418.2131","16320.5370"
"109","Iceland","21625000000","20269659972","57991.5741","372.8990"
"110","Trinidad and Tobago","21393000000","24086176564","13972.8185","1531.0440"
"111","Afghanistan","20136000000","20235063330","489.5843","41128.7710"
"112","Bosnia and Herzegovina","19951000000","16909904149","6170.0447","3233.5260"
"113","Libya","19210000000","42959534586","2819.8823","6812.3410"
"114","Yemen","18840000000","25374086438","559.1066","33696.6140"
"115","Laos","18524000000","15805707090","2460.1981","7529.4750"
"116","Zambia","18111000000","21063063977","904.7504","20017.6750"
"117","Mali","17491000000","14001696748","774.1576","22593.5900"
"118","Burkina Faso","17378000000","11695117109","766.4366","22673.7620"
"119","Georgia","15846000000","14332728707","4231.9366","3744.3850"
"120","Benin","15674000000","8893638002","1173.8306","13352.8640"
"121","Gabon","15339000000","13863183526","6420.6996","2388.9920"
"122","Guinea","15294000000","8476136811","1103.5157","13859.3410"
"123","Albania","15161000000","11863866791","5334.0210","2842.3210"
"124","Botswana","14930000000","15566057294","5676.1672","2630.2960"
"125","Malta","14905000000","10998577038","27949.3555","533.2860"
"126","Haiti","14508000000","7647347306","1252.3095","11584.9960"
"127","Mozambique","14029000000","10930131568","425.5143","32969.5180"
"128","Jamaica","13967000000","14056901075","4939.9143","2827.3770"
"129","Niger","13758000000","7528285819","524.9547","26207.9770"
"130","Mongolia","13313000000","11160356685","3917.4709","3398.3660"
"131","Madagascar","13056000000","11222263845","440.9066","29611.7140"
"132","Armenia","12641000000","10572299425","4546.3553","2780.4690"
"133","Nicaragua","12620000000","13230214875","1816.2476","6948.3920"
"134","North Macedonia","12138000000","10745782586","5797.6719","2093.5990"
"135","Brunei","12003000000","11400266878","26732.6203","449.0020"
"136","Malawi","11847000000","5318197658","580.5840","20405.3170"
"137","Moldova","11530000000","6772647958","3522.7663","3272.9960"
"138","Mauritius","10921000000","12216235024","8404.2020","1299.4690"
"139","Chad","10728000000","11267295771","605.3044","17723.3150"
"140","Namibia","10619000000","10947277246","4136.7162","2567.0120"
"141","Rwanda","10332000000","8473784827","749.9620","13776.6980"
"142","Republic of the Congo","10329000000","7778081883","1730.0279","5970.4240"
"143","Equatorial Guinea","10022000000","10677940568","5983.6122","1674.9080"
"144","Bahamas","9908000000","11261800000","24166.7968","409.9840"
"145","Tajikistan","8134000000","6951679338","817.2585","9952.7870"
"146","Mauritania","8110000000.0000","4667119320","1712.3653","4736.1390"
"147","Kyrgyzstan","7792000000","6551291140","1175.1535","6630.6230"
"148","Togo","7586000000","4449262345","857.3012","8848.6990"
"149","Somalia","6965000000","1318057519","395.7946","17597.5110"
"150","South Sudan","6710000000","6534451826","614.8538","10913.1640"
"151","Guyana","5471000000","3436626633","6764.9612","808.7260"
"152","Montenegro","4777000000","4373958354","7617.8235","627.0820"
"153","Barbados","4677000000","4552793288","16606.6007","281.6350"
"154","Fiji","4574000000","4671118364","4919.5174","929.7660"
"155","Sierra Leone","4059000000","3674756785","471.6631","8605.7180"
"156","Eswatini","3974000000","4007002048","3307.0643","1201.6700"
"157","Maldives","3736000000","4224207488","7132.6703","523.7870"
"158","Djibouti","3410000000","1891520369","3042.3367","1120.8490"
"159","Burundi","3086000000","2873699606","239.4183","12889.5760"
"160","Liberia","3037000000","2756817825","572.7292","5302.6810"
"161","Andorra","2885000000","2858406626","36142.0124","79.8240"
"162","Suriname","2884000000","3278445033","4666.3646","618.0400"
